1,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy"
2,Jurassic World,"Action,Adventure,Sci-Fi"
3,The Avengers,"Action,Sci-Fi"
4,Rogue One,"Action,Adventure,Sci-Fi"
5,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi"
6,The Dark Knight Rises,"Action,Thriller"
7,The Hunger Games: Catching Fire,"Action,Adventure,Mystery"
8,Iron Man Three,"Action,Adventure,Sci-Fi"
9,Captain America: Civil War,"Action,Adventure,Sci-Fi"
10,The Hunger Games,"Action,Adventure,Sci-Fi"
11,Deadpool,"Action,Adventure,Comedy"
12,Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi"
13,American Sniper,"Action,Biography,Drama"
14,Furious 7,"Action,Crime,Thriller"
15,Minions,"Animation,Action,Adventure"
16,Guardians of the Galaxy,"Action,Adventure,Sci-Fi"
17,Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi"
18,Suicide Squad,"Action,Adventure,Fantasy"
19,Skyfall,"Action,Adventure,Thriller"
20,Man of Steel,"Action,Adventure,Fantasy"
21,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi"
22,The Amazing Spider-Man,"Action,Adventure"
23,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi"
24,The Lego Movie,"Animation,Action,Adventure"
25,Transformers: Age of Extinction,"Action,Adventure,Sci-Fi"
26,Maleficent,"Action,Adventure,Family"
27,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy"
28,Furious 6,"Action,Crime,Thriller"
29,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi"
30,Doctor Strange,"Action,Adventure,Fantasy"
31,Star Trek Into Darkness,"Action,Adventure,Sci-Fi"
32,Big Hero 6,"Animation,Action,Adventure"
33,Fast Five,"Action,Crime,Thriller"
34,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller"
35,Dawn of the Planet of the Apes,"Action,Adventure,Drama"
36,Thor: The Dark World,"Action,Adventure,Fantasy"
37,The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi"
38,World War Z,"Action,Adventure,Horror"
39,Godzilla,"Action,Adventure,Sci-Fi"
40,Spectre,"Action,Adventure,Thriller"
41,Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller"
42,22 Jump Street,"Action,Comedy,Crime"
43,Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy"
44,Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime"
45,Logan,"Action,Drama,Sci-Fi"
46,Thor,"Action,Adventure,Fantasy"
47,Ant-Man,"Action,Adventure,Comedy"
48,Men in Black 3,"Action,Adventure,Comedy"
49,How to Train Your Dragon 2,"Animation,Action,Adventure"
50,Rise of the Planet of the Apes,"Action,Drama,Sci-Fi"
51,Captain America: The First Avenger,"Action,Adventure,Sci-Fi"
52,The LEGO Batman Movie,"Animation,Action,Adventure"
53,Kung Fu Panda 2,"Animation,Action,Adventure"
54,Jason Bourne,"Action,Thriller"
55,The Heat,"Action,Comedy,Crime"
56,Star Trek Beyond,"Action,Adventure,Sci-Fi"
57,X-Men: Apocalypse,"Action,Adventure,Sci-Fi"
