1,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy"
2,Jurassic World,"Action,Adventure,Sci-Fi"
3,Rogue One,"Action,Adventure,Sci-Fi"
4,Finding Dory,"Animation,Adventure,Comedy"
5,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi"
6,The Hunger Games: Catching Fire,"Action,Adventure,Mystery"
7,Iron Man Three,"Action,Adventure,Sci-Fi"
8,Captain America: Civil War,"Action,Adventure,Sci-Fi"
9,The Hunger Games,"Action,Adventure,Sci-Fi"
10,Frozen,"Animation,Adventure,Comedy"
11,Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy"
12,The Secret Life of Pets,"Animation,Adventure,Comedy"
13,Despicable Me 2,"Animation,Adventure,Comedy"
14,The Jungle Book,"Adventure,Drama,Family"
15,Deadpool,"Action,Adventure,Comedy"
16,Inside Out,"Animation,Adventure,Comedy"
17,Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi"
18,Zootopia,"Animation,Adventure,Comedy"
19,The Hunger Games: Mockingjay - Part 1,"Adventure,Sci-Fi,Thriller"
20,Minions,"Animation,Action,Adventure"
21,Guardians of the Galaxy,"Action,Adventure,Sci-Fi"
22,Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi"
23,Suicide Squad,"Action,Adventure,Fantasy"
24,Skyfall,"Action,Adventure,Thriller"
25,The Hobbit: An Unexpected Journey,"Adventure,Fantasy"
26,The Twilight Saga: Breaking Dawn - Part 2,"Adventure,Drama,Fantasy"
27,Man of Steel,"Action,Adventure,Fantasy"
28,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi"
29,The Twilight Saga: Breaking Dawn - Part 1,"Adventure,Drama,Fantasy"
30,Gravity,"Adventure,Drama,Sci-Fi"
31,Monsters University,"Animation,Adventure,Comedy"
32,The Amazing Spider-Man,"Action,Adventure"
33,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi"
34,The Hobbit: The Desolation of Smaug,"Adventure,Fantasy"
35,The Lego Movie,"Animation,Action,Adventure"
36,The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy"
37,Moana,"Animation,Adventure,Comedy"
38,Transformers: Age of Extinction,"Action,Adventure,Sci-Fi"
39,Maleficent,"Action,Adventure,Family"
40,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy"
41,Brave,"Animation,Adventure,Comedy"
42,Oz the Great and Powerful,"Adventure,Family,Fantasy"
43,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy"
44,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi"
45,Doctor Strange,"Action,Adventure,Fantasy"
46,Star Trek Into Darkness,"Action,Adventure,Sci-Fi"
47,The Martian,"Adventure,Drama,Sci-Fi"
48,Big Hero 6,"Animation,Action,Adventure"
49,Madagascar 3: Europe's Most Wanted,"Animation,Adventure,Comedy"
50,The Lorax,"Animation,Adventure,Comedy"
51,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller"
52,Dawn of the Planet of the Apes,"Action,Adventure,Drama"
53,Thor: The Dark World,"Action,Adventure,Fantasy"
54,The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi"
