1,Finding Dory,"Animation,Adventure,Comedy"
2,Frozen,"Animation,Adventure,Comedy"
3,The Secret Life of Pets,"Animation,Adventure,Comedy"
4,Despicable Me 2,"Animation,Adventure,Comedy"
5,Inside Out,"Animation,Adventure,Comedy"
6,Zootopia,"Animation,Adventure,Comedy"
7,Minions,"Animation,Action,Adventure"
8,Sing,"Animation,Comedy,Family"
9,Monsters University,"Animation,Adventure,Comedy"
10,The Lego Movie,"Animation,Action,Adventure"
11,Moana,"Animation,Adventure,Comedy"
12,Brave,"Animation,Adventure,Comedy"
13,Big Hero 6,"Animation,Action,Adventure"
14,Madagascar 3: Europe's Most Wanted,"Animation,Adventure,Comedy"
15,The Lorax,"Animation,Adventure,Comedy"
16,Cars 2,"Animation,Adventure,Comedy"
17,Wreck-It Ralph,"Animation,Adventure,Comedy"
18,The Croods,"Animation,Adventure,Comedy"
19,Home,"Animation,Adventure,Comedy"
20,How to Train Your Dragon 2,"Animation,Action,Adventure"
21,Hotel Transylvania 2,"Animation,Comedy,Family"
22,The LEGO Batman Movie,"Animation,Action,Adventure"
23,Kung Fu Panda 2,"Animation,Action,Adventure"
24,The SpongeBob Movie: Sponge Out of Water,"Animation,Adventure,Comedy"
25,Ice Age: Continental Drift,"Animation,Adventure,Comedy"
26,Trolls,"Animation,Adventure,Comedy"
27,Puss in Boots,"Animation,Action,Adventure"
28,Hotel Transylvania,"Animation,Comedy,Family"
29,Rio,"Animation,Adventure,Comedy"
30,Kung Fu Panda 3,"Animation,Action,Adventure"
31,The Smurfs,"Animation,Adventure,Comedy"
32,Alvin and the Chipmunks: Chipwrecked,"Animation,Adventure,Comedy"
33,Rio 2,"Animation,Adventure,Comedy"
34,The Peanuts Movie,"Animation,Adventure,Comedy"
35,Rango,"Animation,Adventure,Comedy"
36,The Good Dinosaur,"Animation,Adventure,Comedy"
37,Cloudy with a Chance of Meatballs 2,"Animation,Adventure,Comedy"
38,Mr. Peabody & Sherman,"Animation,Adventure,Comedy"
39,Hop,"Animation,Adventure,Comedy"
40,Epic,"Animation,Adventure,Family"
41,Angry Birds,"Animation,Action,Adventure"
42,Rise of the Guardians,"Animation,Adventure,Family"
43,Gnomeo & Juliet,"Animation,Comedy,Family"
44,Sausage Party,"Animation,Adventure,Comedy"
45,Planes,"Animation,Adventure,Comedy"
46,Alvin and the Chipmunks: The Road Chip,"Animation,Adventure,Comedy"
47,Penguins of Madagascar,"Animation,Adventure,Comedy"
48,Turbo,"Animation,Adventure,Comedy"
49,The Adventures of Tintin,"Animation,Action,Adventure"
50,Storks,"Animation,Adventure,Comedy"
51,The Smurfs 2,"Animation,Adventure,Comedy"
52,The Nut Job,"Animation,Adventure,Comedy"
53,Ice Age: Collision Course,"Animation,Adventure,Comedy"
54,Happy Feet Two,"Animation,Comedy,Family"
55,Planes: Fire & Rescue,"Animation,Adventure,Comedy"
56,Escape from Planet Earth,"Animation,Adventure,Comedy"
57,ParaNorman,"Animation,Adventure,Comedy"
58,Free Birds,"Animation,Adventure,Comedy"
59,The Boxtrolls,"Animation,Adventure,Comedy"
60,The Book of Life,"Animation,Adventure,Comedy"
61,Kubo and the Two Strings,"Animation,Adventure,Family"
62,Arthur Christmas,"Animation,Adventure,Comedy"
63,Walking with Dinosaurs 3D,"Animation,Adventure,Family"
64,Frankenweenie,"Animation,Comedy,Family"
65,Monster Trucks,"Animation,Action,Adventure"
66,The Pirates! Band of Misfits,"Animation,Adventure,Comedy"
67,Winnie the Pooh,"Animation,Adventure,Comedy"
68,Mars Needs Moms,"Animation,Adventure,Family"
69,Shaun the Sheep Movie,"Animation,Adventure,Comedy"
70,Norm of the North,"Animation,Adventure,Comedy"
71,Strange Magic,"Animation,Adventure,Comedy"
72,Hoodwinked Too! Hood vs. Evil,"Animation,Action,Comedy"
73,Rock Dog,"Animation,Adventure,Comedy"
74,Huevos: Little Rooster's Egg-cellent Adventure,"Animation,Adventure,Comedy"
75,Ratchet & Clank,"Animation,Action,Adventure"
76,Legends of Oz: Dorothy's Return,"Animation,Adventure,Family"
77,The Wild Life,"Animation,Adventure,Comedy"
78,Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F',"Animation,Action,Adventure"
79,Orlando,"Animation"
80,Kaze tachinu,"Animation,Biography,Drama"
81,Batman: The Killing Joke,"Animation,Action,Crime"
82,Anomalisa,"Animation,Comedy,Drama"
83,The Oscar Nominated Short Films 2017: Animation,"Animation"
84,The Oscar Nominated Short Films 2013: Animation,"Animation"
85,Dragon Ball Z: Doragon bôru Z - Kami to Kami,"Animation,Action,Comedy"
86,The Oscar Nominated Short Films: Animation,"Animation"
87,The Little Prince,"Animation,Adventure,Drama"
88,From Up on Poppy Hill,"Animation,Drama,Family"
89,Song of the Sea,"Animation,Adventure,Family"
90,Kochadaiiyaan,"Animation,Action,Adventure"
91,La tortue rouge,"Animation,Fantasy"
92,The Tale of the Princess Kaguya,"Animation,Drama,Fantasy"
93,Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,"Animation"
94,Bakemono no ko,"Animation,Action,Adventure"
95,Omoide no Mânî,"Animation,Drama,Family"
96,The Prophet,"Animation,Drama"
97,Avril et le monde truqué,"Animation,Adventure,Comedy"
98,Kingsglaive: Final Fantasy XV,"Animation,Action,Adventure"
99,My Life as a Zucchini,"Animation,Comedy"
100,Miss Hokusai,"Animation,Biography,Drama"
101,Puella Magi Madoka Magica the Movie Part 1: Beginnings,"Animation,Drama,Fantasy"
102,Fullmetal Alchemist: The Sacred Star of Milos,"Animation,Action,Adventure"
103,Hell and Back,"Animation,Adventure,Comedy"
104,The Congress,"Animation,Drama,Sci-Fi"
105,Ernest & Celestine,"Animation,Comedy,Crime"
106,An Oversimplification of Her Beauty,"Animation,Comedy,Drama"
107,O Menino e o Mundo,"Animation,Adventure,Family"
108,The Hero of Color City,"Animation,Family"
