1,American Sniper,"Action,Biography,Drama"
2,Lincoln,"Biography,Drama,History"
3,Hidden Figures,"Biography,Drama,History"
4,Straight Outta Compton,"Biography,Crime,Drama"
5,Argo,"Biography,Drama,History"
6,Lone Survivor,"Action,Biography,Drama"
7,Sully,"Biography,Drama"
8,The Wolf of Wall Street,"Biography,Comedy,Crime"
9,The Butler,"Biography,Drama"
10,Unbroken,"Biography,Drama,Sport"
11,Captain Phillips,"Biography,Drama,Thriller"
12,42,"Biography,Drama,Sport"
13,Heaven Is for Real,"Biography,Drama,Family"
14,The Imitation Game,"Biography,Drama,Thriller"
15,Saving Mr. Banks,"Biography,Comedy,Drama"
16,Moneyball,"Biography,Drama,Sport"
17,The Big Short,"Biography,Comedy,Drama"
18,Hacksaw Ridge,"Biography,Drama,History"
19,Black Mass,"Biography,Crime,Drama"
20,Miracles from Heaven,"Biography,Drama,Family"
21,Son of God,"Biography,Drama,History"
22,12 Years a Slave,"Biography,Drama,History"
23,Selma,"Biography,Drama,History"
24,Lion,"Biography,Drama"
25,Jersey Boys,"Biography,Drama,Music"
26,McFarland, USA,"Biography,Drama,Sport"
27,Soul Surfer,"Biography,Drama,Family"
28,Wild,"Adventure,Biography,Drama"
29,Philomena,"Biography,Drama"
30,J. Edgar,"Biography,Crime,Drama"
31,Million Dollar Arm,"Biography,Drama,Sport"
32,The Theory of Everything,"Biography,Drama,Romance"
33,Concussion,"Biography,Drama,Sport"
34,Woman in Gold,"Biography,Drama,History"
35,Get on Up,"Biography,Drama,Music"
36,The Iron Lady,"Biography,Drama"
37,A Walk in the Woods,"Adventure,Biography,Comedy"
38,Florence Foster Jenkins,"Biography,Comedy,Drama"
39,Dallas Buyers Club,"Biography,Drama"
40,Rush,"Action,Biography,Drama"
41,In the Heart of the Sea,"Action,Adventure,Biography"
42,Whiskey Tango Foxtrot,"Biography,Comedy,Drama"
43,Snowden,"Biography,Drama,Thriller"
44,Free State of Jones,"Action,Biography,Drama"
45,Big Miracle,"Biography,Drama,Romance"
46,Race,"Biography,Drama,Sport"
47,Steve Jobs,"Biography,Drama"
48,Jobs,"Biography,Drama"
49,Fruitvale Station,"Biography,Drama,Romance"
50,The Birth of a Nation,"Biography,Drama,History"
51,Eddie the Eagle,"Biography,Comedy,Drama"
52,The Infiltrator,"Biography,Crime,Drama"
53,My Week with Marilyn,"Biography,Drama"
54,Big Eyes,"Biography,Crime,Drama"
55,Jackie,"Biography,Drama,History"
56,The Intouchables,"Biography,Comedy,Drama"
57,The Danish Girl,"Biography,Drama,Romance"
58,The Founder,"Biography,Drama,History"
59,Love & Mercy,"Biography,Drama,Music"
60,The 33,"Biography,Drama,History"
61,Foxcatcher,"Biography,Drama,Sport"
62,Dangal,"Action,Biography,Drama"
63,Belle,"Biography,Drama,Romance"
64,The Walk,"Adventure,Biography,Drama"
65,The Lady in the Van,"Biography,Comedy,Drama"
66,Queen of Katwe,"Biography,Drama,Sport"
67,Mandela: Long Walk to Freedom,"Biography,Drama,History"
68,Loving,"Biography,Drama,Romance"
69,The Grandmaster,"Action,Biography,Drama"
70,Cantinflas,"Biography,Comedy,Drama"
71,Hyde Park on Hudson,"Biography,Comedy,Drama"
72,Southside with You,"Biography,Drama,History"
73,Chasing Mavericks,"Biography,Drama,Sport"
74,Hitchcock,"Biography,Drama"
75,The Sessions,"Biography,Comedy,Drama"
76,The Bling Ring,"Biography,Crime,Drama"
77,A Dangerous Method,"Biography,Drama,Romance"
