1,Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy"
2,The Jungle Book,"Adventure,Drama,Family"
3,Inside Out,"Animation,Adventure,Comedy"
4,American Sniper,"Action,Biography,Drama"
5,The Twilight Saga: Breaking Dawn - Part 2,"Adventure,Drama,Fantasy"
6,The Twilight Saga: Breaking Dawn - Part 1,"Adventure,Drama,Fantasy"
7,Gravity,"Adventure,Drama,Sci-Fi"
8,The Martian,"Adventure,Drama,Sci-Fi"
9,Big Hero 6,"Animation,Action,Adventure"
10,Dawn of the Planet of the Apes,"Action,Adventure,Drama"
11,Cinderella,"Drama,Family,Fantasy"
12,Interstellar,"Adventure,Drama,Sci-Fi"
13,Logan,"Action,Drama,Sci-Fi"
14,The Revenant,"Adventure,Drama,Thriller"
15,Lincoln,"Biography,Drama,History"
16,Rise of the Planet of the Apes,"Action,Drama,Sci-Fi"
17,The Help,"Drama"
18,Gone Girl,"Crime,Drama,Mystery"
19,Fifty Shades of Grey,"Drama,Romance,Thriller"
20,Hidden Figures,"Biography,Drama,History"
21,Django Unchained,"Drama,Western"
22,Straight Outta Compton,"Biography,Crime,Drama"
23,San Andreas,"Action,Adventure,Drama"
24,Snow White and the Huntsman,"Action,Adventure,Drama"
25,American Hustle,"Crime,Drama"
26,La La Land,"Comedy,Drama,Music"
27,Les Misérables,"Drama,Musical,Romance"
28,The Great Gatsby,"Drama,Romance"
29,Argo,"Biography,Drama,History"
30,Silver Linings Playbook,"Comedy,Drama,Romance"
31,Into the Woods,"Adventure,Comedy,Drama"
32,The Legend of Tarzan,"Action,Adventure,Drama"
33,Lone Survivor,"Action,Biography,Drama"
34,Sully,"Biography,Drama"
35,The Vow,"Drama,Romance"
36,Life of Pi,"Adventure,Drama,Fantasy"
37,The Fault in Our Stars,"Drama,Romance"
38,The Good Dinosaur,"Animation,Adventure,Comedy"
39,The Wolf of Wall Street,"Biography,Comedy,Crime"
40,The Butler,"Biography,Drama"
41,Unbroken,"Biography,Drama,Sport"
42,Fifty Shades Darker,"Drama,Romance"
43,Magic Mike,"Comedy,Drama"
44,Trainwreck,"Comedy,Drama,Romance"
45,Creed,"Drama,Sport"
46,Captain Phillips,"Biography,Drama,Thriller"
47,300: Rise of an Empire,"Action,Drama,Fantasy"
48,The Girl with the Dragon Tattoo,"Crime,Drama,Mystery"
49,Noah,"Action,Adventure,Drama"
50,Arrival,"Drama,Mystery,Sci-Fi"
51,Passengers,"Adventure,Drama,Romance"
52,Zero Dark Thirty,"Drama,History,Thriller"
53,42,"Biography,Drama,Sport"
54,Flight,"Drama,Thriller"
55,Elysium,"Action,Drama,Sci-Fi"
56,Heaven Is for Real,"Biography,Drama,Family"
57,The Imitation Game,"Biography,Drama,Thriller"
58,Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Family"
59,The Accountant,"Action,Crime,Drama"
60,Annie,"Comedy,Drama,Family"
61,Fury,"Action,Drama,War"
62,Real Steel,"Action,Drama,Family"
63,Crazy, Stupid, Love.,"Comedy,Drama,Romance"
64,Immortals,"Action,Drama,Fantasy"
65,Saving Mr. Banks,"Biography,Comedy,Drama"
66,The Descendants,"Comedy,Drama"
67,War Horse,"Drama,War"
68,The Monuments Men,"Drama,War"
69,Contagion,"Drama,Thriller"
70,We Bought a Zoo,"Comedy,Drama,Family"
71,Moneyball,"Biography,Drama,Sport"
