1,American Sniper,"Action,Biography,Drama"
2,Lincoln,"Biography,Drama,History"
3,Hidden Figures,"Biography,Drama,History"
4,Straight Outta Compton,"Biography,Crime,Drama"
5,Argo,"Biography,Drama,History"
6,Zero Dark Thirty,"Drama,History,Thriller"
7,Bridge of Spies,"Drama,History,Thriller"
8,The Big Short,"Biography,Comedy,Drama"
9,Hacksaw Ridge,"Biography,Drama,History"
10,Son of God,"Biography,Drama,History"
11,12 Years a Slave,"Biography,Drama,History"
12,13 Hours,"Action,Drama,History"
13,Selma,"Biography,Drama,History"
14,Red Tails,"Action,Adventure,Drama"
15,Spotlight,"Crime,Drama,History"
16,Woman in Gold,"Biography,Drama,History"
17,Patriots Day,"Drama,History,Thriller"
18,The Finest Hours,"Action,Drama,History"
19,In the Heart of the Sea,"Action,Adventure,Biography"
20,Pompeii,"Action,Adventure,Drama"
21,Free State of Jones,"Action,Biography,Drama"
22,The Eagle,"Action,Adventure,Drama"
23,The Birth of a Nation,"Biography,Drama,History"
24,Jackie,"Biography,Drama,History"
25,The Founder,"Biography,Drama,History"
26,The 33,"Biography,Drama,History"
27,Mandela: Long Walk to Freedom,"Biography,Drama,History"
28,Silence,"Adventure,Drama,History"
29,Bajirao Mastani,"Action,Drama,History"
30,Hyde Park on Hudson,"Biography,Comedy,Drama"
31,Southside with You,"Biography,Drama,History"
32,For Greater Glory: The True Story of Cristiada,"Drama,History,War"
33,Kaze tachinu,"Animation,Biography,Drama"
34,Suffragette,"Biography,Drama,History"
35,Anonymous,"Drama,History,Thriller"
36,Mr. Turner,"Biography,Drama,History"
37,Emperor,"Drama,History"
38,Anthropoid,"Biography,History,Thriller"
39,Renoir,"Biography,Drama,History"
40,Yip Man 3,"Action,Biography,Drama"
41,Amsal,"Drama,History,Thriller"
42,Legend,"Biography,Crime,Drama"
43,Testament of Youth,"Biography,Drama,History"
44,Bhaag Milkha Bhaag,"Action,Biography,Drama"
45,A Royal Affair,"Biography,Drama,History"
46,Kon-Tiki,"Adventure,History"
47,Snow Flower and the Secret Fan,"Drama,History"
48,Mohenjo Daro,"Action,Adventure,Drama"
49,The Invisible Woman,"Biography,Drama,History"
50,Elvis & Nixon,"Comedy,History"
51,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy"
52,Doctor Strange,"Action,Adventure,Fantasy"
53,Star Trek Into Darkness,"Action,Adventure,Sci-Fi"
54,The Martian,"Adventure,Drama,Sci-Fi"
55,Big Hero 6,"Animation,Action,Adventure"
56,Ted,"Comedy,Fantasy"
57,Madagascar 3: Europe's Most Wanted,"Animation,Adventure,Comedy"
58,The Lorax,"Animation,Adventure,Comedy"
59,Fast Five,"Action,Crime,Thriller"
60,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller"
61,Dawn of the Planet of the Apes,"Action,Adventure,Drama"
62,Thor: The Dark World,"Action,Adventure,Fantasy"
63,The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi"
64,World War Z,"Action,Adventure,Horror"
65,Cinderella,"Drama,Family,Fantasy"
66,Godzilla,"Action,Adventure,Sci-Fi"
67,Spectre,"Action,Adventure,Thriller"
68,Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller"
69,22 Jump Street,"Action,Comedy,Crime"
70,Cars 2,"Animation,Adventure,Comedy"
71,Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy"
72,Wreck-It Ralph,"Animation,Adventure,Comedy"
73,Interstellar,"Adventure,Drama,Sci-Fi"
