1,The Hunger Games: Catching Fire,"Action,Adventure,Mystery"
2,Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy"
3,Zootopia,"Animation,Adventure,Comedy"
4,The Hangover Part II,"Comedy,Mystery"
5,Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime"
6,Gone Girl,"Crime,Drama,Mystery"
7,Divergent,"Adventure,Mystery,Sci-Fi"
8,The Conjuring,"Horror,Mystery,Thriller"
9,Get Out,"Horror,Mystery"
10,Super 8,"Mystery,Sci-Fi,Thriller"
11,Prometheus,"Adventure,Mystery,Sci-Fi"
12,Safe House,"Action,Crime,Mystery"
13,Now You See Me,"Crime,Mystery,Thriller"
14,The Bourne Legacy,"Action,Adventure,Mystery"
15,The Girl with the Dragon Tattoo,"Crime,Drama,Mystery"
16,The Conjuring 2,"Horror,Mystery,Thriller"
17,The Maze Runner,"Action,Mystery,Sci-Fi"
18,Arrival,"Drama,Mystery,Sci-Fi"
19,Tomorrowland,"Action,Adventure,Family"
20,Non-Stop,"Action,Mystery,Thriller"
21,Oblivion,"Action,Adventure,Mystery"
22,Annabelle,"Horror,Mystery,Thriller"
23,Limitless,"Mystery,Sci-Fi,Thriller"
24,The Adventures of Tintin,"Animation,Action,Adventure"
25,The Girl on the Train,"Crime,Drama,Mystery"
26,Hugo,"Adventure,Drama,Family"
27,10 Cloverfield Lane,"Drama,Horror,Mystery"
28,Allegiant,"Action,Adventure,Mystery"
29,Now You See Me 2,"Action,Adventure,Comedy"
30,Unknown,"Action,Mystery,Thriller"
31,Prisoners,"Crime,Drama,Mystery"
32,Total Recall,"Action,Adventure,Mystery"
33,Jack Reacher,"Action,Crime,Mystery"
34,Jack Reacher: Never Go Back,"Action,Adventure,Crime"
35,Source Code,"Mystery,Romance,Sci-Fi"
36,The Hateful Eight,"Crime,Drama,Mystery"
37,Sinister,"Horror,Mystery"
38,Sicario,"Action,Crime,Drama"
39,The Gift,"Mystery,Thriller"
40,Nerve,"Adventure,Crime,Mystery"
41,Scream 4,"Horror,Mystery"
42,Red Riding Hood,"Fantasy,Horror,Mystery"
43,Risen,"Action,Adventure,Drama"
44,The Nice Guys,"Action,Comedy,Crime"
45,The Boy,"Horror,Mystery,Thriller"
46,The Boy Next Door,"Mystery,Thriller"
47,Inferno,"Action,Adventure,Crime"
48,The Rite,"Drama,Horror,Mystery"
49,Paper Towns,"Drama,Mystery,Romance"
50,Extremely Loud & Incredibly Close,"Adventure,Drama,Mystery"
51,The Mortal Instruments: City of Bones,"Action,Fantasy,Horror"
52,Crimson Peak,"Drama,Fantasy,Horror"
53,Deliver Us from Evil,"Horror,Mystery,Thriller"
54,Hail, Caesar!,"Comedy,Mystery"
55,When the Bough Breaks,"Drama,Horror,Mystery"
56,Abduction,"Action,Mystery,Thriller"
57,Sinister 2,"Horror,Mystery,Thriller"
58,Oculus,"Horror,Mystery"
59,The Forest,"Horror,Mystery,Thriller"
60,A Walk Among the Tombstones,"Crime,Drama,Mystery"
61,Alex Cross,"Action,Crime,Mystery"
62,The Lazarus Effect,"Horror,Mystery,Sci-Fi"
63,Ex Machina,"Drama,Mystery,Sci-Fi"
64,The VVitch: A New-England Folktale,"Horror,Mystery"
65,Escape Plan,"Action,Crime,Mystery"
66,Tinker Tailor Soldier Spy,"Drama,Mystery,Thriller"
67,Transcendence,"Drama,Mystery,Romance"
68,Dream House,"Drama,Mystery,Thriller"
69,As Above, So Below,"Horror,Mystery,Thriller"
70,Chernobyl Diaries,"Horror,Mystery,Thriller"
71,Mr. Holmes,"Drama,Mystery"
72,Apollo 18,"Horror,Mystery,Sci-Fi"
