1,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy"
2,Jurassic World,"Action,Adventure,Sci-Fi"
3,The Avengers,"Action,Sci-Fi"
4,Rogue One,"Action,Adventure,Sci-Fi"
5,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi"
6,The Hunger Games: Catching Fire,"Action,Adventure,Mystery"
7,Iron Man Three,"Action,Adventure,Sci-Fi"
8,Captain America: Civil War,"Action,Adventure,Sci-Fi"
9,The Hunger Games,"Action,Adventure,Sci-Fi"
10,Despicable Me 2,"Animation,Adventure,Comedy"
11,Deadpool,"Action,Adventure,Comedy"
12,Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi"
13,The Hunger Games: Mockingjay - Part 1,"Adventure,Sci-Fi,Thriller"
14,Guardians of the Galaxy,"Action,Adventure,Sci-Fi"
15,Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi"
16,Suicide Squad,"Action,Adventure,Fantasy"
17,Man of Steel,"Action,Adventure,Fantasy"
18,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi"
19,Gravity,"Adventure,Drama,Sci-Fi"
20,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi"
21,Transformers: Age of Extinction,"Action,Adventure,Sci-Fi"
22,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi"
23,Doctor Strange,"Action,Adventure,Fantasy"
24,Star Trek Into Darkness,"Action,Adventure,Sci-Fi"
25,The Martian,"Adventure,Drama,Sci-Fi"
26,Big Hero 6,"Animation,Action,Adventure"
27,Dawn of the Planet of the Apes,"Action,Adventure,Drama"
28,Thor: The Dark World,"Action,Adventure,Fantasy"
29,The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi"
30,World War Z,"Action,Adventure,Horror"
31,Godzilla,"Action,Adventure,Sci-Fi"
32,Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy"
33,Wreck-It Ralph,"Animation,Adventure,Comedy"
34,Interstellar,"Adventure,Drama,Sci-Fi"
35,Logan,"Action,Drama,Sci-Fi"
36,Thor,"Action,Adventure,Fantasy"
37,Ant-Man,"Action,Adventure,Comedy"
38,Men in Black 3,"Action,Adventure,Comedy"
39,Home,"Animation,Adventure,Comedy"
40,Rise of the Planet of the Apes,"Action,Drama,Sci-Fi"
41,Captain America: The First Avenger,"Action,Adventure,Sci-Fi"
42,Star Trek Beyond,"Action,Adventure,Sci-Fi"
43,X-Men: Apocalypse,"Action,Adventure,Sci-Fi"
44,Mad Max: Fury Road,"Action,Adventure,Sci-Fi"
45,Divergent,"Adventure,Mystery,Sci-Fi"
46,X: First Class,"Action,Adventure,Sci-Fi"
47,The Wolverine,"Action,Adventure,Sci-Fi"
48,Insurgent,"Adventure,Sci-Fi,Thriller"
49,Ghostbusters,"Action,Comedy,Fantasy"
50,Super 8,"Mystery,Sci-Fi,Thriller"
51,Lucy,"Action,Sci-Fi,Thriller"
52,Prometheus,"Adventure,Mystery,Sci-Fi"
53,G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi"
54,Cloudy with a Chance of Meatballs 2,"Animation,Adventure,Comedy"
55,Green Lantern,"Action,Adventure,Sci-Fi"
