1,Cars 2,"Animation,Adventure,Comedy"
2,Unbroken,"Biography,Drama,Sport"
3,Creed,"Drama,Sport"
4,42,"Biography,Drama,Sport"
5,Real Steel,"Action,Drama,Family"
6,Turbo,"Animation,Adventure,Comedy"
7,Moneyball,"Biography,Drama,Sport"
8,Southpaw,"Drama,Sport"
9,Here Comes the Boom,"Action,Comedy,Sport"
10,McFarland, USA,"Biography,Drama,Sport"
11,Soul Surfer,"Biography,Drama,Family"
12,Million Dollar Arm,"Biography,Drama,Sport"
13,Trouble with the Curve,"Drama,Sport"
14,Concussion,"Biography,Drama,Sport"
15,When the Game Stands Tall,"Drama,Family,Sport"
16,Grudge Match,"Comedy,Drama,Sport"
17,Draft Day,"Drama,Sport"
18,Point Break,"Action,Crime,Sport"
19,Rush,"Action,Biography,Drama"
20,Race,"Biography,Drama,Sport"
21,Eddie the Eagle,"Biography,Comedy,Drama"
22,Woodlawn,"Drama,Sport"
23,Warrior,"Action,Drama,Sport"
24,Playing for Keeps,"Comedy,Romance,Sport"
25,Foxcatcher,"Biography,Drama,Sport"
26,Dangal,"Action,Biography,Drama"
27,Win Win,"Comedy,Drama,Sport"
28,Queen of Katwe,"Biography,Drama,Sport"
29,Chasing Mavericks,"Biography,Drama,Sport"
30,Bleed for This,"Biography,Drama,Sport"
31,Hands of Stone,"Action,Biography,Drama"
32,Goon,"Comedy,Sport"
33,Home Run,"Drama,Sport"
34,Pawn Sacrifice,"Biography,Drama,Sport"
35,My All-American,"Biography,Drama,Sport"
36,Greater,"Biography,Family,Sport"
37,Crooked Arrows,"Drama,Sport"
38,M.S. Dhoni: The Untold Story,"Biography,Drama,Sport"
39,Bhaag Milkha Bhaag,"Action,Biography,Drama"
40,Kai po che!,"Drama,Sport"
41,Mary Kom,"Biography,Drama,Sport"
42,23 Blast,"Drama,Family,Sport"
43,Ferrari Ki Sawaari,"Comedy,Drama,Family"
44,Touchback,"Drama,Family,Fantasy"
45,Populaire,"Comedy,Romance,Sport"
46,Snake & Mongoose,"Sport"
47,Carter High,"Crime,Drama,Sport"
48,Cuban Fury,"Comedy,Romance,Sport"
49,Saala Khadoos,"Action,Drama,Sport"
50,Mai wei,"Action,Drama,History"
51,Backwards,"Romance,Sport"
52,Paan Singh Tomar,"Action,Biography,Crime"
53,Underdogs,"Drama,Family,Sport"
54,Pelé: Birth of a Legend,"Biography,Drama,Sport"
55,The Challenger,"Drama,Sport"
56,Sultan,"Action,Drama,Romance"
57,Drown,"Drama,Romance,Sport"
58,Chalet Girl,"Comedy,Romance,Sport"
59,Cars 3,"Animation,Adventure,Comedy"
60,Goon: Last of the Enforcers,"Comedy,Sport"
61,Split,"Comedy,Romance,Sport"
62,Death Race 2050,"Action,Comedy,Sci-Fi"
63,Battle of the Sexes,"Biography,Comedy,Sport"
64,Fast Girls,"Drama,Sport"
65,The Program,"Biography,Drama,Sport"
66,1 Mile to You,"Drama,Romance,Sport"
67,Undrafted,"Comedy,Drama,Sport"
68,Blue Mountain State: The Rise of Thadland,"Comedy,Sport"
69,Mais Forte que o Mundo: A História de José Aldo,"Action,Biography,Drama"
70,Borg/McEnroe,"Drama,Sport"
71,Never Back Down 2: The Beatdown,"Action,Drama,Sport"
72,Full Out,"Biography,Drama,Family"
73,Breath,"Drama,Sport"
74,Slamma Jamma,"Drama,Sport"
75,My Name Is Lenny,"Drama,Sport"
76,Underdogs,"Animation,Adventure,Family"
77,Chuck,"Drama,Sport"
78,The Phenom,"Drama,Sport"
79,4 Minute Mile,"Drama,Sport"
80,Viharsarok,"Drama,Romance,Sport"
81,Jawbone,"Action,Drama,Sport"
82,Born to Dance,"Action,Drama,Music"
83,Back in the Day,"Drama,Sport"
84,Brothers,"Action,Drama,Sport"
85,Thunderstruck,"Comedy,Family,Fantasy"
86,Hymyilevä mies,"Biography,Drama,Romance"
87,Emma's Chance,"Drama,Family,Sport"
88,Balls Out,"Comedy,Sport"
89,The Bronx Bull,"Biography,Drama,Sport"
90,Sangre en la boca,"Drama,Sport"
91,American Wrestler: The Wizard,"Drama,Sport"
92,American Brawler,"Biography,Crime,Drama"
93,United Passions,"Drama,History,Sport"
94,Veloce come il vento,"Drama,Sport"
95,All Things Fall Apart,"Drama,Sport"
96,United,"Drama,History,Sport"
97,McKenna Shoots for the Stars,"Drama,Family,Sport"
98,Kicking Out Shoshana,"Comedy,Sport"
99,Drift,"Drama,Sport"
100,Kiss and Cry,"Biography,Drama,Music"
101,Catching Faith,"Drama,Family,Sport"
102,Tri,"Comedy,Drama,Sport"
103,Hitting the Wall,"Drama,Romance,Sport"
104,A Warrior's Heart,"Action,Drama,Family"
105,Break Point,"Comedy,Sport"
106,Miekkailija,"Drama,History,Sport"
107,Seven Days in Utopia,"Drama,Sport"
108,Patiala House,"Comedy,Drama,Sport"
109,Freaky Ali,"Comedy,Sport"
110,A Fighting Man,"Drama,Sport"
111,Ice,"Drama,Sport"
112,From the Rough,"Drama,Sport"
113,The Philly Kid,"Action,Drama,Sport"
114,Tapped Out,"Action,Drama,Sport"
115,WWE Fastlane,"Sport"
116,NBA 2K17,"Sport"
117,Sommeren '92,"Biography,Comedy,Drama"
118,Vykrutasy,"Comedy,Romance,Sport"
119,Mercenaire,"Drama,Sport"
120,The Squeeze,"Comedy,Drama,Sport"
121,Legenda No. 17,"Biography,Drama,Sport"
122,Seve the Movie,"Drama,Sport"
123,Amateur,"Drama,Sport"
124,Irudhi Suttru,"Drama,Sport"
125,Note to Self,"Comedy,Drama,Romance"
126,Uncle Nick,"Comedy,Sport"
