1,The Dark Knight Rises,"Action,Thriller"
2,The Hunger Games: Catching Fire,"Action,Adventure,Mystery"
3,The Hunger Games,"Action,Adventure,Sci-Fi"
4,American Sniper,"Action,Biography,Drama"
5,Furious 7,"Action,Crime,Thriller"
6,The Hunger Games: Mockingjay - Part 1,"Adventure,Sci-Fi,Thriller"
7,Skyfall,"Action,Adventure,Thriller"
8,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi"
9,Gravity,"Adventure,Drama,Sci-Fi"
10,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi"
11,Furious 6,"Action,Crime,Thriller"
12,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi"
13,Fast Five,"Action,Crime,Thriller"
14,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller"
15,World War Z,"Action,Adventure,Horror"
16,Godzilla,"Action,Adventure,Sci-Fi"
17,Spectre,"Action,Adventure,Thriller"
18,Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller"
19,Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime"
20,Logan,"Action,Drama,Sci-Fi"
21,The Revenant,"Adventure,Drama,Thriller"
22,Rise of the Planet of the Apes,"Action,Drama,Sci-Fi"
23,Gone Girl,"Crime,Drama,Mystery"
24,Fifty Shades of Grey,"Drama,Romance,Thriller"
25,Jason Bourne,"Action,Thriller"
26,Star Trek Beyond,"Action,Adventure,Sci-Fi"
27,San Andreas,"Action,Adventure,Drama"
28,Mad Max: Fury Road,"Action,Adventure,Sci-Fi"
29,Taken 2,"Action,Crime,Thriller"
30,The Conjuring,"Horror,Mystery,Thriller"
31,Split,"Horror,Thriller"
32,Argo,"Biography,Drama,History"
33,The Wolverine,"Action,Adventure,Sci-Fi"
34,Insurgent,"Adventure,Sci-Fi,Thriller"
35,Kingsman: The Secret Service,"Action,Adventure,Comedy"
36,Super 8,"Mystery,Sci-Fi,Thriller"
37,Lucy,"Action,Sci-Fi,Thriller"
38,Safe House,"Action,Crime,Mystery"
39,Lone Survivor,"Action,Biography,Drama"
40,G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi"
41,Now You See Me,"Crime,Mystery,Thriller"
42,The Bourne Legacy,"Action,Adventure,Mystery"
43,Captain Phillips,"Biography,Drama,Thriller"
44,The Girl with the Dragon Tattoo,"Crime,Drama,Mystery"
45,The Conjuring 2,"Horror,Mystery,Thriller"
46,The Maze Runner,"Action,Mystery,Sci-Fi"
47,The Equalizer,"Action,Crime,Thriller"
48,Arrival,"Drama,Mystery,Sci-Fi"
49,Cowboys & Aliens,"Action,Sci-Fi,Thriller"
50,Olympus Has Fallen,"Action,Thriller"
