1,American Sniper,"Action,Biography,Drama"
2,Lincoln,"Biography,Drama,History"
3,Lone Survivor,"Action,Biography,Drama"
4,Unbroken,"Biography,Drama,Sport"
5,The Imitation Game,"Biography,Drama,Thriller"
6,Fury,"Action,Drama,War"
7,War Horse,"Drama,War"
8,The Monuments Men,"Drama,War"
9,Act of Valor,"Action,Adventure,Drama"
10,Hacksaw Ridge,"Biography,Drama,History"
11,Dracula Untold,"Action,Drama,Fantasy"
12,13 Hours,"Action,Drama,History"
13,Red Tails,"Action,Adventure,Drama"
14,War Dogs,"Comedy,Crime,Drama"
15,Allied,"Action,Drama,Romance"
16,Whiskey Tango Foxtrot,"Biography,Comedy,Drama"
17,The Book Thief,"Drama,War"
18,Free State of Jones,"Action,Biography,Drama"
19,Eye in the Sky,"Drama,Thriller,War"
20,Bahubali: The Beginning,"Action,Adventure,Drama"
21,Little Boy,"Drama,War"
22,For Greater Glory: The True Story of Cristiada,"Drama,History,War"
23,Kaze tachinu,"Animation,Biography,Drama"
24,The Railway Man,"Biography,Drama,Romance"
25,The Water Diviner,"Drama,War"
26,Rock the Kasbah,"Comedy,Music,War"
27,Anthropoid,"Biography,History,Thriller"
28,The Admiral,"Adventure,Biography,War"
29,Gukjesijang,"Drama,Romance,War"
30,Testament of Youth,"Biography,Drama,History"
31,Saul fia,"Drama,War"
32,Billy Lynn's Long Halftime Walk,"Drama,War"
33,'71,"Action,Drama,Thriller"
34,There Be Dragons,"Biography,Drama,War"
35,In Darkness,"Drama,War"
36,In-cheon sang-ryuk jak-jeon,"Action,Drama,History"
37,Stalingrad,"Action,Drama,War"
38,Lore,"Drama,Romance,Thriller"
39,Coriolanus,"Drama,Thriller,War"
40,Bitter Harvest,"Drama,Romance,War"
41,Phantom,"Action,Drama,History"
42,Freetown,"Action,Drama,Thriller"
43,Walking with the Enemy,"Action,Drama,History"
44,Yeonpyeong haejeon,"Drama,War"
45,In the Land of Blood and Honey,"Drama,Romance,War"
46,Under sandet,"Drama,History,War"
47,Diplomatie,"Drama,War"
48,Zhì qu weihu shan,"Action,Adventure,Biography"
49,Railroad Tigers,"Action,Comedy,War"
50,Cinco de Mayo, La Batalla,"Drama,History,War"
51,Syngué sabour, pierre de patience,"Drama,War"
52,Xin hai ge ming,"Action,Adventure,Drama"
53,Krigen,"Crime,Drama,War"
54,Mandariinid,"Drama,War"
55,Beasts of No Nation,"Drama,War"
56,Fetih 1453,"Action,Adventure,Drama"
57,Fort McCoy,"Drama,History,War"
58,Mai wei,"Action,Drama,History"
59,A nagy füzet,"Drama,War"
60,Les hommes libres,"Drama,Romance,War"
61,1,000 Times Good Night,"Drama,War"
62,Zaytoun,"Adventure,Drama,Thriller"
63,Rebelle,"Drama,War"
64,En mai, fais ce qu'il te plaît,"Drama,War"
65,Frantz,"Drama,History,War"
66,5 Days of War,"Action,Drama,War"
67,Twice Born,"Drama,Romance,War"
68,In the Fog,"Drama,History,War"
69,Forces spéciales,"Action,Drama,War"
70,Neither Heaven Nor Earth,"Drama,Fantasy,Mystery"
71,Camp X-Ray,"Drama,War"
72,Jin ling shi san chai,"Drama,History,Romance"
73,Canopy,"Adventure,Drama,Thriller"
74,Chosen,"Drama,War"
75,Hyena Road,"Drama,War"
76,Into the White,"Biography,Drama,History"
77,Megan Leavey,"Biography,Drama,War"
78,Dunkirk,"Action,Drama,Thriller"
79,The Ottoman Lieutenant,"Drama,War"
80,The Zookeeper's Wife,"Biography,Drama,History"
